131500_A..S57R,A,S,1A 2155 207/LEF,A..S57R,131500_A..S57R 2025-03-18,2025-03-18,True,2025-03-18 21:55:00,STOPPED_AT,A65S,29,Ozone Park-Lefferts Blvd,True,False,2025-03-18 23:12:25
133533_A..S,A,S,1A 2215 207/LEF,A..S,133533_A..S 2025-03-18,2025-03-18,True,2025-03-18 22:15:19.800000,STOPPED_AT,A47S,36,Ozone Park-Lefferts Blvd,True,False,2025-03-18 23:35:35
134466_A..S,A,S,1A 2224+ 207/HOW,A..S,134466_A..S 2025-03-18,2025-03-18,True,2025-03-18 22:24:39.600000,STOPPED_AT,A46S,35,Howard Beach-JFK Airport,True,False,2025-03-18 23:35:37
134100_A..N04R,A,N,1A 2221 LEF/207,A..N04R,134100_A..N04R 2025-03-18,2025-03-18,True,2025-03-18 22:21:00,STOPPED_AT,A15N,41,Inwood-207 St,True,False,2025-03-18 23:35:30
135050_A..N09X002,A,N,1A 2230+ HOW/207,A..N09X002,135050_A..N09X002 2025-03-18,2025-03-18,True,2025-03-18 22:30:30,STOPPED_AT,A20N,36,Inwood-207 St,True,False,2025-03-18 23:35:35
135400_A..S,A,S,1A 2234 207/LEF,A..S,135400_A..S 2025-03-18,2025-03-18,True,2025-03-18 22:34:00,STOPPED_AT,A42S,31,Ozone Park-Lefferts Blvd,True,False,2025-03-18 23:35:35
136200_A..S,A,S,1A 2242 207/HOW,A..S,136200_A..S 2025-03-18,2025-03-18,True,2025-03-18 22:42:00,STOPPED_AT,A40S,29,Howard Beach-JFK Airport,True,False,2025-03-18 23:35:35
137400_A..S,A,S,1A 2254 207/LEF,A..S,137400_A..S 2025-03-18,2025-03-18,True,2025-03-18 22:54:00,STOPPED_AT,A33S,25,Ozone Park-Lefferts Blvd,True,False,2025-03-18 23:35:35
136500_A..N04R,A,N,1A 2245 LEF/207,A..N04R,136500_A..N04R 2025-03-18,2025-03-18,True,2025-03-18 22:45:00,STOPPED_AT,A32N,27,Inwood-207 St,True,False,2025-03-18 23:35:35
137500_A..N09X002,A,N,1A 2255 HOW/207,A..N09X002,137500_A..N09X002 2025-03-18,2025-03-18,True,2025-03-18 22:55:00,STOPPED_AT,A34N,25,Inwood-207 St,True,False,2025-03-18 23:35:35
138600_A..S,A,S,1A 2306 207/HOW,A..S,138600_A..S 2025-03-18,2025-03-18,True,2025-03-18 23:06:00,STOPPED_AT,A25S,19,Howard Beach-JFK Airport,True,False,2025-03-18 23:35:37
139800_A..S,A,S,1A 2318 207/LEF,A..S,139800_A..S 2025-03-18,2025-03-18,True,2025-03-18 23:18:00,STOPPED_AT,A15S,7,Ozone Park-Lefferts Blvd,True,False,2025-03-18 23:35:39
139000_A..N04R,A,N,1A 2310 LEF/207,A..N04R,139000_A..N04R 2025-03-18,2025-03-18,True,2025-03-18 23:10:00,STOPPED_AT,A45N,17,Inwood-207 St,True,False,2025-03-18 23:35:35
141000_A..S,A,S,1A 2330 207/HOW,A..S,141000_A..S 2025-03-18,2025-03-18,True,2025-03-18 23:30:00,STOPPED_AT,A06S,3,Howard Beach-JFK Airport,True,False,2025-03-18 23:35:39
140050_A..N09X002,A,N,1A 2320+ HOW/207,A..N09X002,140050_A..N09X002 2025-03-18,2025-03-18,True,2025-03-18 23:20:30,STOPPED_AT,A53N,9,Inwood-207 St,True,False,2025-03-18 23:35:40
134100_A..N04R,A,N,1A 2221 LEF/207,A..N04R,134100_A..N04R 2025-03-18,2025-03-18,True,2025-03-18 22:21:00,STOPPED_AT,A14N,42,Inwood-207 St,True,False,2025-03-18 23:36:00
137400_A..S,A,S,1A 2254 207/LEF,A..S,137400_A..S 2025-03-18,2025-03-18,True,2025-03-18 22:54:00,STOPPED_AT,A34S,26,Ozone Park-Lefferts Blvd,True,False,2025-03-18 23:36:00
139000_A..N04R,A,N,1A 2310 LEF/207,A..N04R,139000_A..N04R 2025-03-18,2025-03-18,True,2025-03-18 23:10:00,STOPPED_AT,A44N,18,Inwood-207 St,True,False,2025-03-18 23:36:00
141000_A..S,A,S,1A 2330 207/HOW,A..S,141000_A..S 2025-03-18,2025-03-18,True,2025-03-18 23:30:00,STOPPED_AT,A07S,4,Howard Beach-JFK Airport,True,False,2025-03-18 23:36:15
136500_A..N04R,A,N,1A 2245 LEF/207,A..N04R,136500_A..N04R 2025-03-18,2025-03-18,True,2025-03-18 22:45:00,STOPPED_AT,A31N,28,Inwood-207 St,True,False,2025-03-18 23:36:39
138600_A..S,A,S,1A 2306 207/HOW,A..S,138600_A..S 2025-03-18,2025-03-18,True,2025-03-18 23:06:00,STOPPED_AT,A27S,20,Howard Beach-JFK Airport,True,False,2025-03-18 23:36:50
141800_A..N04R,A,N,1A 2338 LEF/207,A..N04R,141800_A..N04R 2025-03-18,2025-03-18,False,2025-03-18 23:38:00,IN_TRANSIT_TO,A65N,0,Inwood-207 St,True,False,2025-03-18 23:38:00
137500_A..N09X002,A,N,1A 2255 HOW/207,A..N09X002,137500_A..N09X002 2025-03-18,2025-03-18,True,2025-03-18 22:55:00,STOPPED_AT,A33N,26,Inwood-207 St,True,False,2025-03-18 23:37:00
140050_A..N09X002,A,N,1A 2320+ HOW/207,A..N09X002,140050_A..N09X002 2025-03-18,2025-03-18,True,2025-03-18 23:20:30,STOPPED_AT,A52N,10,Inwood-207 St,True,False,2025-03-18 23:37:02
141800_A..N04R,A,N,1A 2338 LEF/207,A..N04R,141800_A..N04R 2025-03-18,2025-03-18,True,2025-03-18 23:38:00,IN_TRANSIT_TO,A65N,0,Inwood-207 St,True,False,2025-03-18 23:38:00
139000_A..N04R,A,N,1A 2310 LEF/207,A..N04R,139000_A..N04R 2025-03-18,2025-03-18,True,2025-03-18 23:10:00,STOPPED_AT,A43N,19,Inwood-207 St,True,False,2025-03-18 23:37:25
